"","sample_id"
"1","S001_47_2336_S1_L001"
"2","S002_48_2409_S2_L001"
"3","S003_49_LLBB_52_S3_L001"
"4","S004_50_947_S4_L001"
"5","S005_51_2016_S5_L001"
"6","S006_52_2064_S6_L001"
"7","S007_53_LLBB_62_S7_L001"
"8","S008_54_1297_S8_L001"
"9","S009_55_LLBB_75_S9_L001"
"10","S010_56_2383_S10_L001"
"11","S011_57_LLBB_31_S11_L001"
"12","S012_58_707_S12_L001"
"13","S013_59_669_S13_L001"
"14","S014_60_LLBB_32_S14_L001"
"15","S015_61_1918_S15_L001"
"16","S016_62_1522_S16_L001"
"17","S017_63_1819B_S17_L001"
"18","S018_64_1021_S18_L001"
"19","S019_65_1577_S19_L001"
"20","S020_66_LLBB_78_S20_L001"
"21","S021_67_1977_S21_L001"
"22","S022_68_165_S22_L001"
"23","S023_69_LLBB_66_S23_L001"
"24","S024_70_1336_S24_L001"
"25","S025_71_893_S25_L001"
"26","S026_72_773_S26_L001"
"27","S027_73_289_S27_L001"
"28","S028_74_2149_S28_L001"
"29","S029_75_561_S29_L001"
"30","S030_76_1873_S30_L001"
"31","S031_77_999_S31_L001"
"32","S032_78_405_S32_L001"
"33","S033_79_461B_S33_L001"
"34","S034_80_299_S34_L001"
"35","S035_81_437_S35_L001"
"36","S036_82_1520_S36_L001"
"37","S037_83_407_S37_L001"
"38","S038_84_Negative1_1_S38_L001"
"39","S039_85_2127_S39_L001"
"40","S040_86_LLBB_47_S40_L001"
"41","S041_87_837B_S41_L001"
"42","S042_88_2177_S42_L001"
"43","S043_89_307_S43_L001"
"44","S044_90_1944B_S44_L001"
"45","S045_91_2021_S45_L001"
"46","S046_92_1526_S46_L001"
"47","S047_93_191_S47_L001"
"48","S048_94_Negative2_1_S48_L001"
"49","S049_95_631B_S49_L001"
"50","S050_96_1407_S50_L001"
"51","S051_97_1662_S51_L001"
"52","S052_98_LLBB_9_S52_L001"
"53","S053_99_1482_S53_L001"
"54","S054_100_349_S54_L001"
"55","S055_101_579_S55_L001"
"56","S056_102_1508_S56_L001"
"57","S057_103_1499_S57_L001"
"58","S058_104_591_S58_L001"
"59","S059_105_2360_S59_L001"
"60","S060_106_1496_S60_L001"
"61","S061_107_1755B_S61_L001"
"62","S062_108_619_S62_L001"
"63","S063_109_2115_S63_L001"
"64","S064_110_1805_S64_L001"
"65","S065_111_987B_S65_L001"
"66","S066_112_547B_S66_L001"
"67","S067_113_441_S67_L001"
"68","S068_114_443_S68_L001"
"69","S069_115_1708_S69_L001"
"70","S070_116_1334_S70_L001"
"71","S071_117_343_S71_L001"
"72","S072_118_2287_S72_L001"
"73","S073_119_1284_S73_L001"
"74","S074_120_99_S74_L001"
"75","S075_121_2217_S75_L001"
"76","S076_122_1621_S76_L001"
"77","S077_123_2143_S77_L001"
"78","S078_124_941_S78_L001"
"79","S079_125_LLBB_2_S79_L001"
"80","S080_126_LLBB_84_S80_L001"
"81","S081_127_2053_S81_L001"
"82","S082_128_1253_S82_L001"
"83","S083_129_169_S83_L001"
"84","S084_130_421B_S84_L001"
"85","S085_131_1405_S85_L001"
"86","S086_132_331_S86_L001"
"87","S087_133_681_S87_L001"
"88","S088_134_1309B_S88_L001"
"89","S089_135_247_S89_L001"
"90","S090_136_Negative1_2_S90_L001"
"91","S091_137_2461B_S91_L001"
"92","S092_138_Negative2_2_S92_L001"
"93","S093_139_2295_S93_L001"
"94","S094_140_587B_S94_L001"
"95","S095_141_1287_S95_L001"
"96","S096_142_LLBB_6_S96_L001"
"97","S097_143_285_S97_L001"
"98","S098_144_2105B_S98_L001"
"99","S099_145_Negative1_3_S99_L001"
"100","S100_146_583_S100_L001"
"101","S101_147_LLBB_69_S101_L001"
"102","S102_148_1973_S102_L001"
"103","S103_149_1157_S103_L001"
"104","S104_150_2024_S104_L001"
"105","S105_151_1886_S105_L001"
"106","S106_152_1481_S106_L001"
"107","S107_153_LLBB_64_S107_L001"
"108","S108_154_LLBB_19_S108_L001"
"109","S109_155_1505_S109_L001"
"110","S110_156_559_S110_L001"
"111","S111_157_241_S111_L001"
"112","S112_158_15_S112_L001"
"113","S113_159_2056_S113_L001"
"114","S114_160_2189_S114_L001"
"115","S115_161_2344B_S115_L001"
"116","S116_162_2475_S116_L001"
"117","S117_163_1728_S117_L001"
"118","S118_164_1495_S118_L001"
"119","S119_165_2010_S119_L001"
"120","S120_166_1523_S120_L001"
"121","S121_167_1551_S121_L001"
"122","S122_168_2090_S122_L001"
"123","S123_169_LLBB_33_S123_L001"
"124","S124_170_1667_S124_L001"
"125","S125_171_LLBB_90_S125_L001"
"126","S126_172_761_S126_L001"
"127","S127_173_20_S127_L001"
"128","S128_174_781_S128_L001"
"129","S129_175_1908_S129_L001"
"130","S130_176_563_S130_L001"
"131","S131_177_1841_S131_L001"
"132","S132_178_117B_S132_L001"
"133","S133_179_397_S133_L001"
"134","S134_180_2455_S134_L001"
"135","S135_181_103_S135_L001"
"136","S136_182_1521_S136_L001"
"137","S137_183_Negative2_3_S137_L001"
"138","S138_184_329_S138_L001"
"139","S139_185_497_S139_L001"
"140","S140_186_231_S140_L001"
"141","S141_187_1607_S141_L001"
"142","S142_188_1970_S142_L001"
"143","S143_189_1121_S143_L001"
"144","S144_190_2029_S144_L001"
"145","S145_191_585B_S145_L001"
"146","S146_192_1533_S146_L001"
"147","S147_193_233_S147_L001"
"148","S148_194_1704_S148_L001"
"149","S149_195_59_S149_L001"
"150","S150_196_541B_S150_L001"
"151","S151_197_281_S151_L001"
"152","S152_198_1029_S152_L001"
"153","S153_199_1203_S153_L001"
"154","S154_200_515_S154_L001"
"155","S155_201_1636_S155_L001"
"156","S156_202_LLBB_61_S156_L001"
"157","S157_203_1733_S157_L001"
"158","S158_204_1745_S158_L001"
"159","S159_205_2299_S159_L001"
"160","S160_206_1735_S160_L001"
"161","S161_207_LLBB_16_S161_L001"
"162","S162_208_13_S162_L001"
"163","S163_209_691_S163_L001"
"164","S164_210_Negative1_4_S164_L001"
"165","S165_211_1411_S165_L001"
"166","S166_212_41_S166_L001"
"167","S167_213_2483_S167_L001"
"168","S168_214_LLBB_98_S168_L001"
"169","S169_215_821_S169_L001"
"170","S170_216_1215_S170_L001"
"171","S171_217_2401_S171_L001"
"172","S172_218_LLBB_51_S172_L001"
"173","S173_219_1650_S173_L001"
"174","S174_220_1303_S174_L001"
"175","S175_221_1878_S175_L001"
"176","S176_222_555B_S176_L001"
"177","S177_223_485_S177_L001"
"178","S178_224_279_S178_L001"
"179","S179_225_1398_S179_L001"
"180","S180_226_LLBB_21_S180_L001"
"181","S181_227_2328_S181_L001"
"182","S182_228_LLBB_70_S182_L001"
"183","S183_229_849B_S183_L001"
"184","S184_230_2405_S184_L001"
"185","S185_231_1762_S185_L001"
"186","S186_232_1670_S186_L001"
"187","S187_233_1538_S187_L001"
"188","S188_234_2375_S188_L001"
"189","S189_235_LLBB_38_S189_L001"
"190","S190_236_553B_S190_L001"
"191","S191_237_1222_S191_L001"
"192","S192_238_Negative2_4_S192_L001"
"193","S193_239_Negative1_5_S193_L001"
"194","S194_240_2080_S194_L001"
"195","S195_241_56_S195_L001"
"196","S196_242_1537_S196_L001"
"197","S197_243_439_S197_L001"
"198","S198_244_498_S198_L001"
"199","S199_245_287_S199_L001"
"200","S200_246_28_S200_L001"
"201","S201_247_1837_S201_L001"
"202","S202_248_1174_S202_L001"
"203","S203_249_41_S203_L001"
"204","S204_250_500_S204_L001"
"205","S205_251_58_S205_L001"
"206","S206_252_293_S206_L001"
"207","S207_253_1595_S207_L001"
"208","S208_254_507_S208_L001"
"209","S209_255_1593_S209_L001"
"210","S210_256_1965_S210_L001"
"211","S211_257_283_S211_L001"
"212","S212_258_1525_S212_L001"
"213","S213_259_59_S213_L001"
"214","S214_260_459B_S214_L001"
"215","S215_261_1133_S215_L001"
"216","S216_262_524_S216_L001"
"217","S217_263_43_S217_L001"
"218","S218_264_661_S218_L001"
"219","S219_265_1942_S219_L001"
"220","S220_266_34_S220_L001"
"221","S221_267_1445_S221_L001"
"222","S222_268_Negative2_5_S222_L001"
"223","S223_269_163_S223_L001"
"224","S224_270_961_S224_L001"
"225","S225_271_53_S225_L001"
"226","S226_272_951_S226_L001"
"227","S227_273_2371_S227_L001"
"228","S228_274_1195_S228_L001"
"229","S229_275_1895_S229_L001"
"230","S230_276_949_S230_L001"
"231","S231_277_2045_S231_L001"
"232","S232_278_1557_S232_L001"
"233","S233_279_1136_S233_L001"
"234","S234_280_1486_S234_L001"
"235","S235_281_88_S235_L001"
"236","S236_282_61_S236_L001"
"237","S237_283_24_S237_L001"
"238","S238_284_221_S238_L001"
"239","S239_285_4_S239_L001"
"240","S240_286_1524_S240_L001"
